,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
317,Donovan Peoples-Jones,WR,CLE,1.0,LAC,5,5,Sun,6,5,70,14.0,0,83.30%,11.67,12.0,0,0,0,0,0,0,0,0,0,0,42,47
318,Robert Woods,WR,LAR,1.0,IND,2,2,Sun,9,5,64,12.8,0,55.60%,7.11,12.0,0,0,0,0,0,2,6,0,0,1,27,24
319,Bryan Edwards,WR,LVR,0.0,MIA,3,3,Sun,5,3,89,29.67,0,60.00%,17.8,11.9,0,0,0,0,0,0,0,0,0,1,31,28
320,Rashard Higgins,WR,CLE,1.0,LAC,5,5,Sun,5,3,29,9.67,1,60.00%,5.8,11.9,0,0,0,0,0,0,0,0,0,0,42,47
321,D.J. Moore,WR,CAR,0.0,MIN,6,6,Sun,13,5,73,14.6,0,38.50%,5.62,11.9,0,0,0,0,0,1,6,0,1,0,28,34
322,Michael Pittman Jr.,WR,IND,1.0,MIA,4,4,Sun,8,6,59,9.83,0,75.00%,7.38,11.9,0,0,0,0,0,0,0,0,0,1,27,17
323,Josh Reynolds,WR,TEN,1.0,NYJ,4,4,Sun,9,6,59,9.83,0,66.70%,6.56,11.9,0,0,0,0,0,0,0,0,0,0,24,27
324,Van Jefferson,WR,LAR,1.0,HOU,8,8,Sun,6,3,88,29.33,0,50.00%,14.67,11.8,0,0,0,0,0,0,0,0,0,1,38,22
325,D.K. Metcalf,WR,SEA,1.0,PIT,6,6,Sun,7,6,58,9.67,0,85.70%,8.29,11.8,0,0,0,0,0,0,0,0,1,0,20,23
326,Courtland Sutton,WR,DEN,1.0,CLE,7,7,Thu,5,5,68,13.6,0,100.00%,13.6,11.8,0,0,0,0,0,0,0,0,0,0,14,17
327,Diontae Johnson,WR,PIT,0.0,CHI,8,9,Mon,6,5,56,11.2,0,83.30%,9.33,11.7,0,0,0,0,0,2,11,0,0,1,29,27
328,Allen Lazard,WR,GNB,1.0,CHI,6,6,Sun,5,3,27,9.0,1,60.00%,5.4,11.7,0,0,0,0,0,0,0,0,0,1,24,14
329,Keelan Cole,WR,NYJ,1.0,IND,8,9,Thu,8,5,66,13.2,0,62.50%,8.25,11.6,0,0,0,0,0,0,0,0,0,0,30,45
330,Brandin Cooks,WR,HOU,1.0,MIA,9,9,Sun,14,6,56,9.33,0,42.90%,4.0,11.6,0,0,0,0,0,0,0,0,0,0,9,17
331,Hunter Renfrow,WR,LVR,0.0,CHI,5,5,Sun,8,6,56,9.33,0,75.00%,7.0,11.6,0,0,0,0,0,0,0,0,0,0,9,20
332,Anthony Schwartz,WR,CLE,1.0,KAN,1,1,Sun,5,3,69,23.0,0,60.00%,13.8,11.6,0,0,0,0,0,1,17,0,0,0,29,33
333,Marquez Callaway,WR,NOR,0.0,ATL,8,9,Sun,6,3,25,8.33,1,50.00%,4.17,11.5,0,0,0,0,0,0,0,0,0,0,25,27
334,Tyler Johnson,WR,TAM,1.0,NOR,8,8,Sun,6,5,65,13.0,0,83.30%,10.83,11.5,0,0,0,0,0,0,0,0,0,0,27,36
335,Adam Humphries,WR,WAS,0.0,NYG,2,2,Thu,8,7,44,6.29,0,87.50%,5.5,11.4,0,0,0,0,0,0,0,0,0,1,30,29
336,Cooper Kupp,WR,LAR,0.0,ARI,4,4,Sun,13,5,64,12.8,0,38.50%,4.92,11.4,0,0,0,0,0,0,0,0,0,0,20,37
337,Jakobi Meyers,WR,NWE,0.0,DAL,6,6,Sun,6,5,44,8.8,0,83.30%,7.33,11.4,0,0,0,0,0,0,0,0,0,0,29,35
338,Laviska Shenault Jr.,WR,JAX,0.0,MIA,6,6,Sun,10,6,54,9.0,0,60.00%,5.4,11.4,0,0,0,0,0,0,0,0,0,1,23,20
339,Cole Beasley,WR,BUF,1.0,JAX,8,9,Sun,11,8,33,4.13,0,72.70%,3.0,11.3,0,0,0,0,0,0,0,0,0,0,6,9
340,DeAndre Carter,WR,WAS,0.0,NOR,5,5,Sun,8,4,62,15.5,0,50.00%,7.75,11.3,0,0,0,0,0,1,11,0,0,0,22,33
341,Mecole Hardman,WR,KAN,0.0,NYG,8,8,Mon,7,5,63,12.6,0,71.40%,9.0,11.3,0,0,0,0,0,0,0,0,0,1,20,17
342,D.K. Metcalf,WR,SEA,0.0,TEN,2,2,Sun,11,6,53,8.83,0,54.50%,4.82,11.3,0,0,0,0,0,0,0,0,0,0,30,33
343,Chester Rogers,WR,TEN,1.0,NYJ,4,4,Sun,6,5,63,12.6,0,83.30%,10.5,11.3,0,0,0,0,0,0,0,0,0,0,24,27
344,Deebo Samuel,WR,SFO,0.0,ARI,8,9,Sun,9,5,63,12.6,0,55.60%,7.0,11.3,0,0,0,0,0,0,0,0,0,0,17,31
345,Darius Slayton,WR,NYG,0.0,CAR,7,7,Sun,9,5,63,12.6,0,55.60%,7.0,11.3,0,0,0,0,0,0,0,0,0,1,25,3
346,Deonte Harris,WR,NOR,0.0,ATL,8,9,Sun,8,6,52,8.67,0,75.00%,6.5,11.2,0,0,0,0,0,0,0,0,0,0,25,27
347,Mack Hollins,WR,MIA,0.0,HOU,9,9,Sun,6,3,22,7.33,1,50.00%,3.67,11.2,0,0,0,0,0,0,0,0,0,1,17,9
348,DeVonta Smith,WR,PHI,1.0,LVR,7,7,Sun,9,5,61,12.2,0,55.60%,6.78,11.1,0,0,0,0,0,0,0,0,0,0,22,33
349,Robert Woods,WR,LAR,1.0,NYG,6,6,Sun,5,2,31,15.5,1,40.00%,6.2,11.1,0,0,0,0,0,0,0,0,0,1,38,11
350,Rashod Bateman,WR,BAL,0.0,CIN,7,7,Sun,6,3,80,26.67,0,50.00%,13.33,11.0,0,0,0,0,0,0,0,0,0,0,17,41
351,Jarvis Landry,WR,CLE,0.0,PIT,8,8,Sun,10,5,65,13.0,0,50.00%,6.5,11.0,0,0,0,0,0,1,5,0,1,0,10,15
352,Kenny Stills,WR,NOR,0.0,ATL,8,9,Sun,5,2,30,15.0,1,40.00%,6.0,11.0,0,0,0,0,0,0,0,0,0,0,25,27
353,Freddie Swain,WR,SEA,1.0,SFO,4,4,Sun,4,3,20,6.67,1,75.00%,5.0,11.0,0,0,0,0,0,0,0,0,1,1,28,21
354,Cedrick Wilson Jr.,WR,DAL,0.0,CAR,4,4,Sun,2,2,30,15.0,1,100.00%,15.0,11.0,0,0,0,0,0,0,0,0,0,1,36,28
355,Jamal Agnew,WR,JAX,0.0,TEN,5,5,Sun,7,6,41,6.83,0,85.70%,5.86,10.9,0,0,0,0,0,1,8,0,0,0,19,37
356,James Washington,WR,PIT,1.0,GNB,4,4,Sun,5,4,69,17.25,0,80.00%,13.8,10.9,0,0,0,0,0,0,0,0,0,0,17,27
357,Kendrick Bourne,WR,NWE,0.0,TAM,4,4,Sun,5,5,58,11.6,0,100.00%,11.6,10.8,0,0,0,0,0,0,0,0,0,0,17,19
358,Rondale Moore,WR,ARI,1.0,TEN,1,1,Sun,5,4,68,17.0,0,80.00%,13.6,10.8,0,0,0,0,0,0,0,0,0,1,38,13
359,Allen Robinson,WR,CHI,1.0,PIT,9,9,Mon,6,4,68,17.0,0,66.70%,11.33,10.8,0,0,0,0,0,0,0,0,0,0,27,29
360,Tajae Sharpe,WR,ATL,0.0,CAR,7,8,Sun,6,5,58,11.6,0,83.30%,9.67,10.8,0,0,0,0,0,0,0,0,0,0,13,19
361,Sammy Watkins,WR,BAL,1.0,DET,3,3,Sun,7,4,68,17.0,0,57.10%,9.71,10.8,0,0,0,0,0,0,0,0,0,1,19,17
362,Tyreek Hill,WR,KAN,0.0,LAC,3,3,Sun,7,5,56,11.2,0,71.40%,8.0,10.7,0,0,0,0,0,1,11,0,1,0,24,30
363,DeAndre Hopkins,WR,ARI,1.0,LAR,4,4,Sun,7,4,67,16.75,0,57.10%,9.57,10.7,0,0,0,0,0,0,0,0,0,1,37,20
364,Tyler Lockett,WR,SEA,0.0,LAR,5,5,Thu,10,5,57,11.4,0,50.00%,5.7,10.7,0,0,0,0,0,0,0,0,0,0,17,26
365,Hunter Renfrow,WR,LVR,1.0,PIT,2,2,Sun,7,5,57,11.4,0,71.40%,8.14,10.7,0,0,0,0,0,0,0,0,0,1,26,17
366,Davante Adams,WR,GNB,1.0,NOR,1,1,Sun,7,5,56,11.2,0,71.40%,8.0,10.6,0,0,0,0,0,0,0,0,0,0,3,38
367,Keenan Allen,WR,LAC,0.0,LVR,4,4,Mon,11,7,36,5.14,0,63.60%,3.27,10.6,0,0,0,0,0,0,0,0,0,1,28,14
368,Brandon Aiyuk,WR,SFO,1.0,CHI,7,8,Sun,7,4,45,11.25,0,57.10%,6.43,10.5,0,0,0,0,0,0,0,0,0,1,33,22
369,Amari Cooper,WR,DAL,1.0,NWE,6,6,Sun,8,5,55,11.0,0,62.50%,6.88,10.5,0,0,0,0,0,0,0,0,0,1,35,29
370,Mecole Hardman,WR,KAN,1.0,BAL,2,2,Sun,8,5,55,11.0,0,62.50%,6.88,10.5,0,0,0,0,0,0,0,0,0,0,35,36
371,Kendall Hinton,WR,DEN,1.0,PIT,5,5,Sun,3,2,25,12.5,1,66.70%,8.33,10.5,0,0,0,0,0,0,0,0,0,0,19,27
372,Jalen Reagor,WR,PHI,1.0,LVR,7,7,Sun,2,2,25,12.5,1,100.00%,12.5,10.5,0,0,0,0,0,1,0,0,1,0,22,33
373,Emmanuel Sanders,WR,BUF,1.0,JAX,8,9,Sun,8,4,65,16.25,0,50.00%,8.13,10.5,0,0,0,0,0,0,0,0,0,0,6,9
374,Tavon Austin,WR,JAX,0.0,TEN,5,5,Sun,5,5,54,10.8,0,100.00%,10.8,10.4,0,0,0,0,0,0,0,0,0,0,19,37
375,Kenny Golladay,WR,NYG,0.0,DEN,1,1,Sun,6,4,64,16.0,0,66.70%,10.67,10.4,0,0,0,0,0,0,0,0,0,0,13,27
376,Kenny Golladay,WR,NYG,0.0,ATL,3,3,Sun,5,4,64,16.0,0,80.00%,12.8,10.4,0,0,0,0,0,0,0,0,0,0,14,17
377,Jakobi Meyers,WR,NWE,0.0,MIA,1,1,Sun,9,6,44,7.33,0,66.70%,4.89,10.4,0,0,0,0,0,0,0,0,0,0,16,17
378,Allen Robinson,WR,CHI,0.0,CIN,2,2,Sun,4,2,24,12.0,1,50.00%,6.0,10.4,0,0,0,0,0,0,0,0,0,1,20,17
379,Rashard Higgins,WR,CLE,1.0,MIN,4,4,Sun,7,4,63,15.75,0,57.10%,9.0,10.3,0,0,0,0,0,0,0,0,0,1,14,7
380,Adam Humphries,WR,WAS,0.0,NOR,5,5,Sun,5,3,73,24.33,0,60.00%,14.6,10.3,0,0,0,0,0,0,0,0,0,0,22,33
381,Jalen Reagor,WR,PHI,1.0,DAL,3,3,Mon,8,5,53,10.6,0,62.50%,6.63,10.3,0,0,0,0,0,0,0,0,0,0,21,41
