,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
272,David Montgomery,RB,CHI,1.0,PIT,9,9,Mon,13,63,4.85,0,2,2,17,8.5,0,100.00%,8.5,10.0,0,0,0,0,0,0,0,27,29
273,Eno Benjamin,RB,ARI,1.0,SFO,9,9,Sun,9,39,4.33,1,0,0,0,0.0,0,0.00%,0.0,9.9,0,0,0,0,0,0,1,31,17
274,Jamycal Hasty,RB,SFO,1.0,PHI,2,2,Sun,5,38,7.6,0,5,4,21,5.25,0,80.00%,4.2,9.9,0,0,0,0,0,0,1,17,11
275,D'Ernest Johnson,RB,CLE,0.0,PIT,8,8,Sun,4,22,5.5,1,3,1,7,7.0,0,33.30%,2.33,9.9,0,0,0,0,0,0,0,10,15
276,Boston Scott,RB,PHI,1.0,LVR,7,7,Sun,7,24,3.43,1,2,1,5,5.0,0,50.00%,2.5,9.9,0,0,0,0,0,0,0,22,33
277,Javonte Williams,RB,DEN,0.0,LVR,6,6,Sun,11,53,4.82,0,3,3,15,5.0,0,100.00%,5.0,9.8,0,0,0,0,0,0,0,24,34
278,Ameer Abdullah,RB,CAR,1.0,ATL,8,8,Sun,8,31,3.88,0,5,3,35,11.67,0,60.00%,7.0,9.6,0,0,0,0,0,0,1,19,13
279,Michael Carter,RB,NYJ,1.0,IND,8,9,Thu,13,49,3.77,0,2,1,37,37.0,0,50.00%,18.5,9.6,0,0,0,0,0,0,0,30,45
280,Chuba Hubbard,RB,CAR,1.0,NYG,7,7,Sun,12,28,2.33,0,5,4,28,7.0,0,80.00%,5.6,9.6,0,0,0,0,0,0,0,3,25
281,J.D. McKissic,RB,WAS,1.0,GNB,7,7,Sun,4,22,5.5,0,6,4,34,8.5,0,66.70%,5.67,9.6,0,0,0,0,0,0,0,10,24
282,Latavius Murray,RB,BAL,0.0,KAN,2,2,Sun,9,36,4.0,1,0,0,0,0.0,0,0.00%,0.0,9.6,0,0,0,0,0,0,1,36,35
283,Adrian Peterson,RB,TEN,1.0,LAR,9,9,Sun,10,21,2.1,1,1,1,5,5.0,0,100.00%,5.0,9.6,0,0,0,0,0,0,1,28,16
284,Devin Singletary,RB,BUF,0.0,HOU,4,4,Sun,14,79,5.64,0,1,1,7,7.0,0,100.00%,7.0,9.6,0,0,0,0,0,1,1,40,0
285,Austin Ekeler,RB,LAC,1.0,BAL,6,6,Sun,6,7,1.17,0,7,4,48,12.0,0,57.10%,6.86,9.5,0,0,0,0,0,0,0,6,34
286,Darrell Henderson,RB,LAR,0.0,DET,7,7,Sun,15,45,3.0,0,6,3,19,6.33,0,50.00%,3.17,9.4,0,0,0,0,0,0,1,28,19
287,Phillip Lindsay,RB,HOU,1.0,CLE,2,2,Sun,5,2,0.4,0,1,1,22,22.0,1,100.00%,22.0,9.4,0,0,0,0,0,0,0,21,31
288,James Robinson,RB,JAX,0.0,DEN,2,2,Sun,11,47,4.27,0,3,3,17,5.67,0,100.00%,5.67,9.4,0,0,0,0,0,0,0,13,23
