,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
302,Kylen Granson,TE,IND,0.0,NYJ,9,9,Thu,1,1,27,27.0,0,100.00%,27.0,3.7,0,0,0,0,0,0,0,0,0,1,45,30
303,Marcedes Lewis,TE,GNB,1.0,CHI,6,6,Sun,2,2,17,8.5,0,100.00%,8.5,3.7,0,0,0,0,0,0,0,0,0,1,24,14
304,David Njoku,TE,CLE,1.0,MIN,4,4,Sun,2,2,17,8.5,0,100.00%,8.5,3.7,0,0,0,0,0,0,0,0,0,1,14,7
305,Josiah Deguara,TE,GNB,1.0,KAN,9,9,Sun,2,2,16,8.0,0,100.00%,8.0,3.6,0,0,0,0,0,0,0,0,0,0,7,13
306,O.J. Howard,TE,TAM,1.0,NOR,8,8,Sun,3,2,16,8.0,0,66.70%,5.33,3.6,0,0,0,0,0,0,0,0,0,0,27,36
307,Hayden Hurst,TE,ATL,1.0,NOR,8,9,Sun,3,2,16,8.0,0,66.70%,5.33,3.6,0,0,0,0,0,0,0,0,0,1,27,25
308,C.J. Uzomah,TE,CIN,0.0,GNB,5,5,Sun,2,2,16,8.0,0,100.00%,8.0,3.6,0,0,0,0,0,0,0,0,0,0,22,25
309,Trevon Wesco,TE,NYJ,1.0,IND,8,9,Thu,2,2,16,8.0,0,100.00%,8.0,3.6,0,0,0,0,0,0,0,0,0,0,30,45
310,Cameron Brate,TE,TAM,1.0,NOR,8,8,Sun,4,2,15,7.5,0,50.00%,3.75,3.5,0,0,0,0,0,0,0,0,0,0,27,36
311,Tyler Conklin,TE,MIN,1.0,ARI,2,2,Sun,4,2,15,7.5,0,50.00%,3.75,3.5,0,0,0,0,0,0,0,0,0,0,33,34
312,Noah Fant,TE,DEN,0.0,NYJ,3,3,Sun,3,2,15,7.5,0,66.70%,5.0,3.5,0,0,0,0,0,0,0,0,0,1,26,0
313,Jacob Hollister,TE,JAX,0.0,ARI,3,3,Sun,6,2,15,7.5,0,33.30%,2.5,3.5,0,0,0,0,0,0,0,0,0,0,19,31
314,Adam Shaheen,TE,MIA,1.0,TAM,5,5,Sun,2,2,15,7.5,0,100.00%,7.5,3.5,0,0,0,0,0,0,0,0,0,0,17,45
315,Mo Alie-Cox,TE,IND,1.0,TEN,3,3,Sun,2,2,14,7.0,0,100.00%,7.0,3.4,0,0,0,0,0,0,0,0,0,0,16,25
316,Jack Doyle,TE,IND,1.0,MIA,4,4,Sun,1,1,24,24.0,0,100.00%,24.0,3.4,0,0,0,0,0,0,0,0,0,1,27,17
317,Pat Freiermuth,TE,PIT,1.0,BUF,1,1,Sun,1,1,24,24.0,0,100.00%,24.0,3.4,0,0,0,0,0,0,0,0,0,1,23,16
318,Austin Hooper,TE,CLE,1.0,CIN,9,9,Sun,2,2,14,7.0,0,100.00%,7.0,3.4,0,0,0,0,0,0,0,0,0,1,41,16
319,Blake Jarwin,TE,DAL,0.0,PHI,3,3,Mon,2,2,14,7.0,0,100.00%,7.0,3.4,0,0,0,0,0,0,0,0,0,1,41,21
320,James O'Shaughnessy,TE,JAX,0.0,DEN,2,2,Sun,1,1,24,24.0,0,100.00%,24.0,3.4,0,0,0,0,0,0,0,0,0,0,13,23
321,Jordan Akins,TE,HOU,1.0,ARI,7,7,Sun,2,2,13,6.5,0,100.00%,6.5,3.3,0,0,0,0,0,0,0,0,0,0,5,31
322,Derek Carrier,TE,LVR,1.0,PIT,2,2,Sun,2,2,13,6.5,0,100.00%,6.5,3.3,0,0,0,0,0,0,0,0,0,1,26,17
323,Juwan Johnson,TE,NOR,1.0,CAR,2,2,Sun,3,1,23,23.0,0,33.30%,7.67,3.3,0,0,0,0,0,0,0,0,0,0,7,26
324,Josh Oliver,TE,BAL,0.0,IND,5,5,Mon,2,2,13,6.5,0,100.00%,6.5,3.3,0,0,0,0,0,0,0,0,0,1,31,25
325,Kyle Pitts,TE,ATL,0.0,CAR,7,8,Sun,6,2,13,6.5,0,33.30%,2.17,3.3,0,0,0,0,0,0,0,0,0,0,13,19
326,Jonnu Smith,TE,NWE,1.0,LAC,8,8,Sun,2,2,13,6.5,0,100.00%,6.5,3.3,0,0,0,0,0,0,0,0,0,1,27,24
327,Tyler Kroft,TE,NYJ,1.0,DEN,3,3,Sun,2,2,12,6.0,0,100.00%,6.0,3.2,0,0,0,0,0,0,0,0,0,0,0,26
328,Ricky Seals-Jones,TE,WAS,1.0,DEN,8,8,Sun,4,2,12,6.0,0,50.00%,3.0,3.2,0,0,0,0,0,0,0,0,0,0,10,17
329,Tommy Tremble,TE,CAR,1.0,NYG,7,7,Sun,2,2,12,6.0,0,100.00%,6.0,3.2,0,0,0,0,0,0,0,0,0,0,3,25
330,Evan Engram,TE,NYG,0.0,ATL,3,3,Sun,6,2,21,10.5,0,33.30%,3.5,3.1,0,0,0,0,0,0,0,0,1,0,14,17
331,Luke Farrell,TE,JAX,0.0,MIA,6,6,Sun,1,1,21,21.0,0,100.00%,21.0,3.1,0,0,0,0,0,0,0,0,0,1,23,20
